date	time	id	returning	reward	location	claimed	social	socialshares
2014-10-01	00:45:22	10017	new	tickets	4	no	inst	
2014-10-01	00:45:22	10041	new	tickets	4	no	fb	
2014-10-01	00:45:22	10018	new	tickets	3	yes	fb	
2014-10-01	01:45:22	10042	new	tickets	5	no	inst	
2014-10-01	02:45:22	10019	new	tickets	4	yes	fb	
2014-10-01	02:45:22	10043	new	tickets	2	no	fb	
2014-10-01	02:45:22	10020	new	tickets	5	no	fb	
2014-10-01	02:45:22	10044	new	tickets	2	no	fb	
2014-10-01	02:45:22	10021	new	tickets	4	no	fb	
2014-10-01	06:45:22	10045	new	tickets	3	yes	fb	
2014-10-01	06:45:22	10022	new	tickets	1	no	tw	
2014-10-01	06:45:22	10046	new	tickets	1	no	fb	
2014-10-01	06:45:22	10023	new	tickets	3	yes	Em	
2014-10-01	06:45:22	10047	new	tickets	2	yes	tw	
2014-10-01	06:45:22	10024	returning	tickets	5	yes	inst	
2014-10-01	07:45:22	10048	new	tickets	2	yes	Em	
2014-10-01	07:45:22	10001	new	ticket	3	yes	fb	
2014-10-01	07:45:22	10025	returning	tickets	4	yes	inst	
2014-10-01	08:45:22	10049	new	tickets	3	yes	inst	
2014-10-01	09:45:22	10002	new	ticket	4	yes	fb	fb
2014-10-01	09:45:22	10026	returning	tickets	5	yes	fb	
2014-10-01	09:45:22	10050	new	tickets	2	yes	inst	
2014-10-01	09:45:22	10003	new	ticket	3	yes	fb	
2014-10-01	09:45:22	10027	new	tickets	5	yes	fb	
2014-10-01	09:45:22	10051	new	tickets	4	yes	fb	
2014-10-01	11:45:22	10004	new	ticket	5	no	Em	
2014-10-01	12:45:22	10028	new	ticket	3	yes	fb	
2014-10-01	12:45:22	10052	new	tickets	4	no	fb	
2014-10-01	12:45:22	10005	new	ticket	4	yes	fb	
2014-10-01	12:45:22	10029	returning	ticket	1	yes	Em	
2014-10-01	12:45:22	10006	new	ticket	5	yes	inst	
2014-10-01	13:45:22	10030	new	ticket	1	yes	fb	
2014-10-01	14:45:22	10007	new	ticket	1	no	fb	
2014-10-01	14:45:22	10031	new	ticket	3	yes	inst	
2014-10-01	15:45:22	10008	new	ticket	2	no	fb	
2014-10-01	16:45:22	10032	new	ticket	3	yes	fb	
2014-10-01	16:45:22	10009	new	ticket	2	no	fb	
2014-10-01	16:45:22	10033	new	ticket	1	yes	fb	
2014-10-01	17:45:22	10010	new	ticket	3	no	fb	
2014-10-01	17:45:22	10034	new	ticket	2	yes	fb	
2014-10-01	17:45:22	10011	new	points	1	yes	Em	
2014-10-01	17:45:22	10035	new	ticket	4	yes	fb	
2014-10-01	19:45:22	10012	new	point	1	no	fb	
2014-10-01	19:45:22	10036	new	ticket	3	no	Em	
2014-10-01	20:45:22	10013	new	tickets	2	no	fb	
2014-10-01	21:45:22	10037	new	ticket	4	yes	fb	
2014-10-01	21:45:22	10014	new	tickets	4	no	fb	
2014-10-01	21:45:22	10038	new	points	3	yes	fb	
2014-10-01	22:45:22	10015	new	tickets	5	yes	fb	
2014-10-01	22:45:22	10039	new	point	4	no	fb	
2014-10-01	22:45:22	10016	new	tickets	1	no	fb	
2014-10-02	23:45:22	10040	new	tickets	1	yes	fb	
2014-10-02	00:45:22	10065	new	points	2	yes	fb	
2014-10-02	00:45:22	10089	new	ticket	2	yes	fb	
2014-10-02	00:45:22	10113	returning	ticket	4	yes	fb	
2014-10-02	00:45:22	10137	new	ticket	3	yes	fb	
2014-10-02	01:45:22	10066	new	point	2	yes	fb	
2014-10-02	02:45:22	10090	new	ticket	2	yes	fb	
2014-10-02	02:45:22	10114	new	ticket	3	no	fb	
2014-10-02	02:45:22	10138	new	ticket	2	yes	fb	
2014-10-02	02:45:22	10162	new	tickets	4	yes	fb	
2014-10-02	02:45:22	10067	new	tickets	4	yes	inst	
2014-10-02	03:45:22	10091	new	ticket	2	yes	fb	
2014-10-02	03:45:22	10115	new	ticket	4	no	fb	
2014-10-02	03:45:22	10068	new	tickets	2	yes	fb	
2014-10-02	03:45:22	10092	new	points	3	yes	inst	
2014-10-02	03:45:22	10116	returning	ticket	4	yes	fb	
2014-10-02	03:45:22	10140	returning	ticket	5	yes	fb	
2014-10-02	03:45:22	10164	new	ticket	4	yes	fb	
2014-10-02	04:45:22	10069	new	tickets	3	yes	fb	
2014-10-02	06:45:22	10093	new	point	2	yes	fb	
2014-10-02	06:45:22	10117	new	ticket	1	yes	inst	
2014-10-02	06:45:22	10070	new	tickets	2	yes	fb	
2014-10-02	07:45:22	10094	new	tickets	4	yes	fb	
2014-10-02	07:45:22	10118	new	ticket	2	yes	fb	
2014-10-02	07:45:22	10142	returning	ticket	5	yes	inst	
2014-10-02	07:45:22	10166	new	ticket	4	yes	fb	
2014-10-02	08:45:22	10071	new	tickets	3	yes	fb	
2014-10-02	08:45:22	10095	new	tickets	5	yes	fb	
2014-10-02	08:45:22	10119	new	points	4	no	fb	
2014-10-02	08:45:22	10072	new	tickets	2	yes	tw	
2014-10-02	08:45:22	10096	new	tickets	1	yes	fb	inst
2014-10-02	08:45:22	10120	new	point	4	yes	fb	
2014-10-02	08:45:22	10144	new	ticket	4	yes	fb	
2014-10-02	08:45:22	10168	new	ticket	1	yes	fb	
2014-10-02	08:45:22	10073	new	tickets	3	yes	Em	
2014-10-02	08:45:22	10097	new	tickets	4	yes	tw	
2014-10-02	08:45:22	10121	new	tickets	3	yes	fb	
2014-10-02	09:45:22	10074	new	tickets	2	yes	inst	
2014-10-02	09:45:22	10098	new	tickets	4	yes	Em	
2014-10-02	09:45:22	10122	new	tickets	3	yes	tw	
2014-10-02	09:45:22	10146	new	points	4	yes	fb	li
2014-10-02	09:45:22	10170	returning	ticket	5	yes	fb	
2014-10-02	09:45:22	10075	new	tickets	5	yes	inst	
2014-10-02	09:45:22	10099	new	tickets	2	yes	inst	
2014-10-02	09:45:22	10123	new	tickets	2	yes	Em	
2014-10-02	09:45:22	10076	new	tickets	2	yes	fb	
2014-10-02	09:45:22	10100	new	tickets	2	yes	inst	
2014-10-02	10:45:22	10124	new	tickets	2	yes	inst	
2014-10-02	10:45:22	10148	new	tickets	5	yes	Em	
2014-10-02	10:45:22	10172	new	ticket	2	yes	tw	
2014-10-02	12:45:22	10053	returning	tickets	4	yes	fb	
2014-10-02	12:45:22	10077	new	tickets	2	yes	fb	
2014-10-02	12:45:22	10101	new	tickets	2	yes	fb	tw
2014-10-02	12:45:22	10125	new	tickets	2	yes	inst	
2014-10-02	12:45:22	10054	returning	tickets	4	yes	Em	
2014-10-02	12:45:22	10078	new	tickets	4	yes	fb	
2014-10-02	12:45:22	10102	new	tickets	1	yes	fb	
2014-10-02	12:45:22	10126	new	tickets	5	yes	fb	
2014-10-02	13:45:22	10150	new	tickets	3	yes	inst	
2014-10-02	13:45:22	10174	returning	point	2	yes	inst	
2014-10-02	14:45:22	10055	returning	ticket	2	yes	fb	
2014-10-02	14:45:22	10079	new	tickets	3	yes	Em	
2014-10-02	14:45:22	10103	new	tickets	1	yes	fb	
2014-10-02	14:45:22	10127	new	tickets	4	yes	fb	
2014-10-02	15:45:22	10056	new	ticket	5	yes	inst	
2014-10-02	15:45:22	10080	new	tickets	3	yes	fb	
2014-10-02	15:45:22	10104	new	tickets	4	yes	Em	
2014-10-02	15:45:22	10128	new	tickets	4	yes	fb	
2014-10-02	15:45:22	10152	new	tickets	5	yes	fb	
2014-10-02	15:45:22	10176	new	tickets	1	yes	fb	
2014-10-02	16:45:22	10057	new	ticket	2	no	fb	
2014-10-02	16:45:22	10081	new	tickets	1	yes	inst	
2014-10-02	17:45:22	10105	new	tickets	3	yes	fb	
2014-10-02	17:45:22	10129	new	tickets	4	yes	Em	
2014-10-02	17:45:22	10058	returning	ticket	5	yes	fb	
2014-10-02	17:45:22	10082	returning	ticket	4	yes	fb	
2014-10-02	17:45:22	10106	new	tickets	1	yes	inst	
2014-10-02	17:45:22	10130	new	tickets	2	yes	fb	
2014-10-02	17:45:22	10154	new	tickets	3	yes	Em	
2014-10-02	17:45:22	10178	new	tickets	3	yes	fb	
2014-10-02	17:45:22	10059	new	ticket	2	yes	fb	
2014-10-02	17:45:22	10083	returning	ticket	4	yes	fb	
2014-10-02	18:45:22	10107	new	tickets	4	yes	fb	
2014-10-02	18:45:22	10131	new	tickets	1	yes	inst	
2014-10-02	18:45:22	10060	new	ticket	1	yes	fb	
2014-10-02	18:45:22	10084	returning	ticket	4	yes	fb	
2014-10-02	18:45:22	10108	new	tickets	4	yes	fb	
2014-10-02	18:45:22	10132	new	tickets	4	yes	fb	
2014-10-02	18:45:22	10156	new	tickets	2	yes	inst	
2014-10-02	19:45:22	10180	new	tickets	4	yes	fb	
2014-10-02	19:45:22	10061	new	ticket	4	no	Em	
2014-10-02	19:45:22	10085	new	ticket	4	yes	fb	
2014-10-02	20:45:22	10109	new	ticket	2	yes	fb	
2014-10-02	20:45:22	10133	new	tickets	3	yes	fb	
2014-10-02	20:45:22	10062	new	ticket	3	yes	fb	
2014-10-02	20:45:22	10086	new	ticket	3	yes	Em	
2014-10-02	20:45:22	10110	new	ticket	5	yes	fb	
2014-10-02	20:45:22	10134	new	tickets	2	yes	fb	
2014-10-02	20:45:22	10158	new	tickets	5	yes	fb	
2014-10-02	20:45:22	10182	new	tickets	4	yes	fb	
2014-10-02	20:45:22	10063	new	ticket	4	no	fb	
2014-10-02	20:45:22	10087	returning	ticket	3	yes	fb	
2014-10-02	21:45:22	10111	returning	ticket	4	yes	Em	
2014-10-02	21:45:22	10135	new	tickets	3	yes	fb	
2014-10-02	21:45:22	10064	new	ticket	5	yes	fb	
2014-10-02	21:45:22	10088	new	ticket	3	yes	fb	
2014-10-02	22:45:22	10112	returning	ticket	2	yes	fb	
2014-10-02	22:45:22	10136	new	ticket	1	no	Em	
2014-10-03	23:45:22	10160	new	tickets	1	yes	fb	
2014-10-03	02:45:22	10161	new	tickets	3	yes	Em	
2014-10-03	02:45:22	10139	new	ticket	4	yes	fb	
2014-10-03	02:45:22	10163	new	ticket	1	yes	fb	
2014-10-03	04:45:22	10141	returning	ticket	2	yes	fb	
2014-10-03	04:45:22	10165	new	ticket	4	yes	fb	
2014-10-03	06:45:22	10143	new	ticket	4	yes	fb	
2014-10-03	06:45:22	10167	new	ticket	2	yes	inst	
2014-10-03	08:45:22	10145	returning	ticket	2	no	fb	
2014-10-03	08:45:22	10169	returning	ticket	2	yes	fb	
2014-10-03	10:45:22	10147	new	point	3	yes	tw	
2014-10-03	10:45:22	10171	returning	ticket	3	yes	fb	
2014-10-03	12:45:22	10149	new	tickets	5	no	inst	
2014-10-03	12:45:22	10173	new	points	4	yes	Em	
2014-10-03	14:45:22	10151	new	tickets	1	yes	fb	
2014-10-03	14:45:22	10175	new	tickets	4	yes	inst	
2014-10-03	16:45:22	10153	new	tickets	2	no	fb	
2014-10-03	18:45:22	10177	new	tickets	2	yes	fb	
2014-10-03	18:45:22	10155	new	tickets	3	yes	fb	
2014-10-03	18:45:22	10179	new	tickets	2	yes	Em	
2014-10-03	18:45:22	10157	new	tickets	3	no	fb	
2014-10-03	20:45:22	10181	new	tickets	2	yes	inst	
2014-10-03	22:45:22	10159	new	tickets	3	yes	fb	
2014-10-04	22:45:22	10183	new	tickets	4	yes	fb	
2014-10-04	00:45:22	10185	new	tickets	3	yes	fb	
2014-10-04	00:45:22	10209	new	tickets	4	yes	fb	
2014-10-04	01:45:22	10233	new	tickets	4	yes	fb	
2014-10-04	01:45:22	10186	new	tickets	3	yes	Em	
2014-10-04	02:45:22	10210	new	tickets	1	yes	fb	
2014-10-04	05:45:22	10234	new	tickets	1	yes	fb	
2014-10-04	06:45:22	10187	new	tickets	1	yes	fb	
2014-10-04	06:45:22	10211	new	tickets	1	yes	Em	
2014-10-04	07:45:22	10235	new	tickets	3	yes	fb	
2014-10-04	07:45:22	10188	new	tickets	2	yes	fb	
2014-10-04	07:45:22	10212	new	tickets	2	yes	fb	
2014-10-04	08:45:22	10236	new	tickets	1	yes	Em	
2014-10-04	08:45:22	10189	new	tickets	4	yes	fb	
2014-10-04	08:45:22	10213	new	tickets	2	yes	fb	
2014-10-04	08:45:22	10237	new	tickets	4	yes	fb	
2014-10-04	08:45:22	10190	new	ticket	3	yes	fb	
2014-10-04	08:45:22	10214	new	tickets	3	yes	fb	
2014-10-04	08:45:22	10238	new	tickets	3	yes	fb	
2014-10-04	08:45:22	10191	new	ticket	5	yes	fb	
2014-10-04	09:45:22	10215	new	tickets	3	yes	fb	
2014-10-04	09:45:22	10239	new	tickets	4	yes	fb	
2014-10-04	09:45:22	10192	new	ticket	4	yes	inst	
2014-10-04	09:45:22	10216	new	tickets	2	yes	fb	
2014-10-04	09:45:22	10240	new	tickets	2	yes	fb	
2014-10-04	09:45:22	10193	new	ticket	2	yes	fb	
2014-10-04	09:45:22	10217	new	ticket	5	yes	inst	
2014-10-04	09:45:22	10241	new	tickets	3	yes	fb	
2014-10-04	09:45:22	10194	new	ticket	4	yes	fb	
2014-10-04	09:45:22	10218	new	ticket	4	yes	fb	
2014-10-04	09:45:22	10242	new	tickets	4	yes	inst	
2014-10-04	10:45:22	10195	new	ticket	2	yes	fb	
2014-10-04	10:45:22	10219	new	ticket	1	yes	fb	
2014-10-04	10:45:22	10243	new	tickets	1	yes	fb	
2014-10-04	10:45:22	10196	new	ticket	4	yes	fb	
2014-10-04	10:45:22	10220	new	ticket	3	yes	fb	
2014-10-04	10:45:22	10244	new	ticket	4	yes	fb	
2014-10-04	10:45:22	10197	new	ticket	3	yes	tw	
2014-10-04	10:45:22	10221	new	ticket	2	yes	fb	
2014-10-04	10:45:22	10245	new	ticket	3	yes	fb	
2014-10-04	11:45:22	10198	returning	ticket	1	yes	Em	
2014-10-04	11:45:22	10222	new	ticket	4	yes	tw	
2014-10-04	11:45:22	10246	new	ticket	3	yes	fb	
2014-10-04	11:45:22	10199	returning	ticket	1	yes	inst	
2014-10-04	12:45:22	10223	new	ticket	2	yes	Em	
2014-10-04	12:45:22	10247	new	ticket	3	yes	tw	
2014-10-04	13:45:22	10200	returning	points	5	yes	inst	
2014-10-04	13:45:22	10224	new	ticket	5	yes	inst	
2014-10-04	14:45:22	10248	new	ticket	2	yes	Em	
2014-10-04	16:45:22	10201	new	point	3	yes	fb	
2014-10-04	17:45:22	10225	new	ticket	2	yes	inst	
2014-10-04	17:45:22	10249	new	ticket	5	yes	inst	
2014-10-04	17:45:22	10202	new	tickets	1	no	fb	
2014-10-04	17:45:22	10226	new	ticket	4	yes	fb	
2014-10-04	17:45:22	10250	new	ticket	5	yes	inst	
2014-10-04	17:45:22	10203	returning	tickets	4	yes	fb	
2014-10-04	17:45:22	10227	returning	points	3	yes	fb	
2014-10-04	18:45:22	10204	new	tickets	2	yes	Em	
2014-10-04	18:45:22	10228	returning	point	4	yes	fb	
2014-10-04	18:45:22	10205	new	tickets	3	yes	fb	
2014-10-04	18:45:22	10229	returning	tickets	1	yes	Em	
2014-10-04	18:45:22	10206	new	tickets	3	no	inst	
2014-10-04	20:45:22	10230	new	tickets	5	yes	fb	
2014-10-04	20:45:22	10207	new	tickets	3	yes	fb	
2014-10-04	20:45:22	10231	new	tickets	4	yes	inst	
2014-10-04	21:45:22	10184	new	tickets	3	yes	fb	
2014-10-04	21:45:22	10208	new	tickets	3	no	fb	
2014-10-05	21:45:22	10232	returning	tickets	2	yes	fb	
2014-10-05	00:45:22	10257	returning	tickets	1	yes	fb	
2014-10-05	00:45:22	10281	new	points	1	no	inst	
2014-10-05	00:45:22	10305	new	ticket	3	yes	fb	
2014-10-05	00:45:22	10329	new	ticket	1	yes	Em	
2014-10-05	00:45:22	10353	new	ticket	3	no	fb	
2014-10-05	00:45:22	10377	returning	tickets	1	yes	fb	
2014-10-05	00:45:22	10401	returning	tickets	4	yes	fb	
2014-10-05	00:45:22	10425	new	tickets	3	yes	inst	
2014-10-05	00:45:22	10449	new	tickets	4	yes	inst	
2014-10-05	00:45:22	10473	new	tickets	4	yes	Em	
2014-10-05	00:45:22	10258	returning	tickets	2	yes	fb	
2014-10-05	00:45:22	10282	new	point	4	yes	fb	
2014-10-05	00:45:22	10306	new	ticket	3	yes	inst	
2014-10-05	00:45:22	10330	new	ticket	4	yes	fb	
2014-10-05	00:45:22	10354	new	ticket	1	yes	Em	
2014-10-05	01:45:22	10378	new	tickets	3	yes	fb	
2014-10-05	01:45:22	10402	returning	tickets	4	yes	fb	
2014-10-05	01:45:22	10426	new	tickets	4	no	fb	
2014-10-05	01:45:22	10450	new	tickets	3	yes	inst	
2014-10-05	01:45:22	10474	new	tickets	2	yes	inst	
2014-10-05	01:45:22	10259	new	tickets	4	no	fb	
2014-10-05	01:45:22	10283	new	tickets	3	yes	fb	
2014-10-05	01:45:22	10307	new	ticket	4	yes	fb	
2014-10-05	01:45:22	10331	new	ticket	4	yes	inst	
2014-10-05	01:45:22	10355	new	ticket	3	yes	fb	
2014-10-05	01:45:22	10379	new	ticket	2	yes	Em	
2014-10-05	01:45:22	10403	returning	tickets	3	yes	fb	
2014-10-05	01:45:22	10427	new	tickets	2	yes	fb	
2014-10-05	02:45:22	10451	new	tickets	2	yes	fb	
2014-10-05	02:45:22	10475	new	tickets	2	yes	inst	
2014-10-05	02:45:22	10260	new	tickets	3	no	fb	
2014-10-05	02:45:22	10284	new	tickets	3	yes	fb	
2014-10-05	02:45:22	10308	new	points	1	yes	fb	
2014-10-05	02:45:22	10332	new	ticket	2	yes	fb	
2014-10-05	03:45:22	10356	new	ticket	5	yes	inst	
2014-10-05	03:45:22	10380	new	ticket	2	yes	fb	
2014-10-05	03:45:22	10404	new	tickets	5	no	Em	
2014-10-05	03:45:22	10428	new	tickets	2	yes	fb	
2014-10-05	03:45:22	10452	new	tickets	3	yes	fb	
2014-10-05	03:45:22	10476	new	tickets	2	yes	fb	
2014-10-05	04:45:22	10261	returning	tickets	3	yes	Em	
2014-10-05	04:45:22	10285	returning	tickets	4	yes	fb	
2014-10-05	04:45:22	10309	new	point	5	yes	fb	
2014-10-05	04:45:22	10333	new	ticket	2	yes	fb	
2014-10-05	06:45:22	10357	new	ticket	4	yes	fb	
2014-10-05	06:45:22	10381	new	ticket	4	yes	inst	
2014-10-05	06:45:22	10405	new	tickets	1	no	fb	
2014-10-05	06:45:22	10429	new	tickets	3	yes	Em	
2014-10-05	06:45:22	10453	new	tickets	4	yes	fb	
2014-10-05	06:45:22	10477	new	tickets	3	yes	fb	
2014-10-05	06:45:22	10262	new	tickets	5	yes	fb	
2014-10-05	06:45:22	10286	returning	tickets	4	yes	Em	
2014-10-05	07:45:22	10310	new	tickets	4	yes	fb	
2014-10-05	07:45:22	10334	new	ticket	2	yes	fb	
2014-10-05	07:45:22	10358	new	ticket	2	yes	fb	
2014-10-05	07:45:22	10382	new	ticket	3	yes	fb	
2014-10-05	07:45:22	10406	returning	ticket	5	yes	inst	
2014-10-05	07:45:22	10430	returning	tickets	4	yes	fb	
2014-10-05	07:45:22	10454	new	tickets	5	yes	Em	
2014-10-05	07:45:22	10478	new	tickets	3	yes	fb	
2014-10-05	08:45:22	10263	new	tickets	5	yes	fb	
2014-10-05	08:45:22	10287	returning	tickets	2	yes	fb	
2014-10-05	08:45:22	10311	new	tickets	5	yes	Em	
2014-10-05	08:45:22	10335	new	points	2	yes	fb	
2014-10-05	08:45:22	10359	new	ticket	3	yes	fb	
2014-10-05	08:45:22	10383	new	ticket	3	yes	fb	
2014-10-05	08:45:22	10407	new	ticket	2	yes	fb	
2014-10-05	08:45:22	10431	returning	tickets	4	yes	inst	
2014-10-05	08:45:22	10455	new	tickets	3	yes	fb	
2014-10-05	08:45:22	10479	new	tickets	4	yes	Em	
2014-10-05	08:45:22	10264	new	tickets	2	no	fb	
2014-10-05	08:45:22	10288	new	tickets	3	yes	fb	
2014-10-05	08:45:22	10312	new	tickets	4	yes	fb	
2014-10-05	08:45:22	10336	new	point	5	yes	Em	
2014-10-05	08:45:22	10360	new	ticket	3	yes	fb	
2014-10-05	09:45:22	10384	new	ticket	5	yes	fb	
2014-10-05	09:45:22	10408	new	ticket	3	yes	fb	
2014-10-05	09:45:22	10432	returning	tickets	3	yes	fb	
2014-10-05	09:45:22	10456	new	tickets	5	yes	inst	
2014-10-05	09:45:22	10480	new	tickets	5	yes	fb	
2014-10-05	09:45:22	10265	new	tickets	5	yes	fb	
2014-10-05	09:45:22	10289	new	tickets	1	yes	fb	
2014-10-05	09:45:22	10313	new	tickets	2	yes	fb	
2014-10-05	09:45:22	10337	new	tickets	2	yes	fb	
2014-10-05	09:45:22	10361	new	ticket	2	yes	Em	
2014-10-05	09:45:22	10385	new	ticket	4	yes	fb	
2014-10-05	09:45:22	10409	new	ticket	1	yes	fb	
2014-10-05	09:45:22	10433	new	ticket	4	yes	fb	
2014-10-05	09:45:22	10457	new	tickets	3	yes	fb	
2014-10-05	09:45:22	10481	new	tickets	4	yes	inst	
2014-10-05	09:45:22	10266	new	tickets	5	yes	fb	
2014-10-05	10:45:22	10290	returning	tickets	3	yes	fb	
2014-10-05	10:45:22	10314	returning	tickets	3	yes	fb	
2014-10-05	10:45:22	10338	new	tickets	2	yes	fb	
2014-10-05	10:45:22	10362	new	points	3	no	fb	
2014-10-05	10:45:22	10386	new	ticket	3	yes	Em	
2014-10-05	10:45:22	10410	new	ticket	1	yes	fb	
2014-10-05	10:45:22	10434	new	ticket	4	yes	fb	
2014-10-05	10:45:22	10458	new	tickets	3	yes	fb	
2014-10-05	10:45:22	10482	new	tickets	3	yes	fb	
2014-10-05	10:45:22	10267	new	tickets	4	yes	inst	
2014-10-05	10:45:22	10291	new	tickets	5	yes	fb	
2014-10-05	10:45:22	10315	returning	tickets	5	yes	fb	
2014-10-05	10:45:22	10339	new	tickets	1	no	fb	
2014-10-05	10:45:22	10363	new	point	4	yes	fb	
2014-10-05	10:45:22	10387	new	ticket	1	yes	fb	
2014-10-05	10:45:22	10411	new	ticket	3	yes	Em	
2014-10-05	10:45:22	10435	returning	ticket	4	yes	fb	
2014-10-05	10:45:22	10459	returning	tickets	5	yes	fb	
2014-10-05	10:45:22	10483	new	tickets	5	yes	fb	
2014-10-05	11:45:22	10268	new	tickets	5	yes	fb	
2014-10-05	11:45:22	10292	new	tickets	4	no	inst	
2014-10-05	11:45:22	10316	returning	tickets	5	yes	fb	
2014-10-05	11:45:22	10340	new	tickets	3	yes	fb	
2014-10-05	11:45:22	10364	new	tickets	3	yes	fb	
2014-10-05	11:45:22	10388	new	ticket	3	yes	fb	
2014-10-05	11:45:22	10412	new	ticket	4	yes	fb	
2014-10-05	11:45:22	10436	new	ticket	2	yes	Em	
2014-10-05	11:45:22	10460	returning	ticket	2	yes	fb	
2014-10-05	11:45:22	10484	new	tickets	3	yes	fb	
2014-10-05	11:45:22	10269	new	tickets	1	yes	fb	
2014-10-05	11:45:22	10293	new	tickets	3	yes	fb	
2014-10-05	11:45:22	10317	new	tickets	3	yes	inst	
2014-10-05	11:45:22	10341	new	tickets	2	yes	fb	
2014-10-05	11:45:22	10365	new	tickets	1	yes	fb	
2014-10-05	11:45:22	10389	new	points	2	yes	fb	
2014-10-05	12:45:22	10413	new	ticket	2	yes	fb	
2014-10-05	12:45:22	10437	new	ticket	1	yes	fb	
2014-10-05	12:45:22	10461	returning	ticket	4	yes	Em	
2014-10-05	12:45:22	10485	new	tickets	2	yes	fb	
2014-10-05	13:45:22	10270	new	tickets	4	yes	fb	
2014-10-05	13:45:22	10294	new	tickets	3	no	fb	
2014-10-05	13:45:22	10318	new	tickets	5	yes	fb	
2014-10-05	13:45:22	10342	new	tickets	5	yes	inst	
2014-10-05	13:45:22	10366	new	tickets	3	yes	fb	
2014-10-05	13:45:22	10390	new	point	1	yes	fb	
2014-10-05	13:45:22	10414	new	ticket	3	yes	fb	
2014-10-05	13:45:22	10438	new	ticket	5	yes	fb	
2014-10-05	13:45:22	10462	new	ticket	5	yes	fb	
2014-10-05	13:45:22	10486	new	tickets	4	yes	Em	
2014-10-05	13:45:22	10271	new	ticket	5	yes	fb	
2014-10-05	13:45:22	10295	new	tickets	4	yes	fb	
2014-10-05	13:45:22	10319	returning	tickets	3	yes	fb	
2014-10-05	13:45:22	10343	returning	tickets	4	yes	fb	
2014-10-05	13:45:22	10367	new	tickets	3	yes	inst	
2014-10-05	13:45:22	10391	new	tickets	2	yes	fb	
